batch,mae,supervise
235,0.002853955,0.002780802
236,0.002859408,0.002747389
237,0.003112548,0.00302017
238,0.002340855,0.002247396
239,0.007468939,0.006445197
240,0.002444445,0.002197671
241,0.002253765,0.002084352
242,0.002563726,0.002551373
243,0.006498927,0.006154933
244,0.00258746,0.002633556
245,0.001913023,0.002017966
246,0.00110194,0.001182385
247,0.017715182,0.017428176
248,0.002684557,0.003040209
249,0.003249215,0.00321972
250,0.002766834,0.003503436
251,0.00807231,0.007318723
252,0.002965915,0.002858941
253,0.003210325,0.003023691
254,0.003930963,0.003707319
255,0.003031648,0.003364749
256,0.00205916,0.002138043
257,0.002124951,0.002197718
258,0.002177788,0.002399238
259,0.001758639,0.001825855
260,0.002694997,0.002769144
261,0.002023345,0.001922527
262,0.002739858,0.002673415
263,0.002533931,0.002473515
264,0.006569992,0.006445044
265,0.001208482,0.001193326
266,0.002092906,0.002426703
267,0.002090911,0.001997276
268,0.006563558,0.005916758
269,0.009429096,0.009235496
270,0.006571033,0.00615418
271,0.00217892,0.002175311
272,0.002150484,0.002130788
273,0.001337883,0.001338503
274,0.005511616,0.005173701
275,0.002094881,0.001834498
276,0.006034739,0.005624639
277,0.007804004,0.007444904
278,0.002901146,0.002960442
279,0.006005361,0.005601661
280,0.002743385,0.002543244
281,0.001782547,0.001713604
282,0.004009474,0.004017922
283,0.006659579,0.00661911
284,0.001577832,0.001481392
285,0.003843854,0.003470635
286,0.001901548,0.001828133
287,0.00245744,0.00224499
288,0.001432108,0.001524763
289,0.002382339,0.002222135
290,0.00171754,0.001916262
291,0.005376945,0.005103651
292,0.006573617,0.005775952
293,0.001475478,0.001374151
294,0.002775302,0.002211448
295,0.00340082,0.003052261
296,0.003309535,0.00320445
297,0.004588002,0.004504201
298,0.002615841,0.00264644
299,0.002170912,0.001917275
300,0.001940799,0.001836903
301,0.001719557,0.001532787
302,0.003040383,0.002723087
303,0.002049105,0.002118225
304,0.002096127,0.002125769
305,0.002705217,0.002365285
306,0.003170683,0.002863424
307,0.001952295,0.00198048
308,0.002120818,0.001862605
309,0.001939033,0.001349676
310,0.00207391,0.001837084
311,0.002227702,0.001895225
312,0.002419471,0.002267347
313,0.001621046,0.001722892
314,0.002174508,0.001963853
315,0.002504715,0.002280218
316,0.007646745,0.006971194
317,0.002456547,0.002563199
318,0.001742912,0.001594411
319,0.001967705,0.001971362
320,0.003767468,0.003342387
321,0.002901112,0.002871748
322,0.001826711,0.001652072
323,0.00491693,0.004261199
324,0.001386608,0.001478253
325,0.002726416,0.002701706
326,0.019391447,0.01687051
327,0.001753363,0.002035709
328,0.002242441,0.0020898
329,0.002930854,0.002730067
330,0.003114489,0.002860681
331,0.00171694,0.001508577
332,0.002875435,0.002716703
333,0.002876567,0.002742369
334,0.001944146,0.001848165
335,0.002529475,0.002353312
336,0.002459955,0.002083824
337,0.001504098,0.00138989
338,0.003449822,0.003487645
339,0.001493068,0.001503016
340,0.002895967,0.003018609
341,0.002474288,0.002250055
342,0.001165405,0.001263996
343,0.002352857,0.002202698
344,0.001987513,0.001886051
345,0.001596417,0.001771156
346,0.002088946,0.002000218
347,0.002900623,0.00286105
348,0.001507823,0.001470753
349,0.002044718,0.001833052
350,0.002489869,0.002323242
351,0.004724926,0.004492275
352,0.00429868,0.003911182
